Ticket_ID,Agent_ID,Customer_ID,Issue_Type,Channel,Created_Date,First_Response_Date,Resolved_Date,Escalated,Satisfaction_Score
TCKT00018,Agent_3,CUST8433,Login Issue,Phone,2024-12-21 18:59:10,2024-12-21 20:24:10,2024-12-24 04:24:10,N,5
TCKT00019,Agent_9,CUST2743,Bug Report,Phone,2024-12-21 09:44:00,2024-12-21 13:09:00,2024-12-22 12:09:00,Y,2
TCKT00020,Agent_9,CUST9689,Login Issue,Phone,2025-01-02 19:31:11,2025-01-02 21:16:11,2025-01-03 18:16:11,N,4
TCKT00021,Agent_6,CUST6038,Payment Failure,Email,2025-01-27 01:47:42,2025-01-27 02:01:42,2025-01-27 17:01:42,Y,5
TCKT00022,Agent_8,CUST2133,Account Suspension,Email,2025-01-29 19:08:48,2025-01-29 19:38:48,2025-01-30 06:38:48,Y,4
TCKT00023,Agent_5,CUST9645,Account Suspension,Chat,2025-03-23 17:59:40,2025-03-23 20:29:40,2025-03-24 18:29:40,Y,5
TCKT00024,Agent_5,CUST7537,Bug Report,Chat,2025-04-11 12:28:44,2025-04-11 15:51:44,2025-04-12 17:51:44,N,1
TCKT00025,Agent_2,CUST6539,Login Issue,Phone,2024-12-20 18:32:05,2024-12-20 19:45:05,2024-12-22 00:45:05,Y,5
TCKT00026,Agent_2,CUST1964,Payment Failure,Email,2025-04-03 14:27:35,2025-04-03 15:33:35,2025-04-03 16:33:35,Y,3
TCKT00027,Agent_4,CUST5562,Feature Request,Email,2025-01-23 05:31:08,2025-01-23 05:59:08,2025-01-25 23:59:08,Y,5
TCKT00028,Agent_4,CUST8749,Feature Request,Email,2025-05-03 15:45:41,2025-05-03 18:22:41,2025-05-06 07:22:41,Y,1
TCKT00029,Agent_6,CUST7939,Feature Request,Chat,2025-04-20 19:32:57,2025-04-20 22:30:57,2025-04-23 06:30:57,Y,1
TCKT00030,Agent_6,CUST2790,Payment Failure,Email,2025-04-30 19:16:46,2025-04-30 19:41:46,2025-05-02 23:41:46,Y,5
TCKT00031,Agent_7,CUST4006,Bug Report,Chat,2025-03-31 10:28:46,2025-03-31 12:32:46,2025-04-01 06:32:46,Y,1
TCKT00032,Agent_2,CUST1828,Account Suspension,Email,2025-03-07 01:58:20,2025-03-07 04:01:20,2025-03-10 03:01:20,Y,2
TCKT00033,Agent_8,CUST8886,Payment Failure,Chat,2025-01-27 10:11:45,2025-01-27 11:03:45,2025-01-29 16:03:45,Y,2
TCKT00034,Agent_7,CUST5345,Feature Request,Chat,2025-03-12 20:20:03,2025-03-12 22:07:03,2025-03-12 23:07:03,N,5
TCKT00035,Agent_3,CUST4111,Bug Report,Email,2025-04-09 01:02:43,2025-04-09 04:01:43,2025-04-11 19:01:43,Y,5
TCKT00036,Agent_1,CUST6138,Login Issue,Email,2025-02-07 15:19:51,2025-02-07 18:37:51,2025-02-10 16:37:51,N,5
TCKT00037,Agent_3,CUST1931,Account Suspension,Email,2025-05-21 19:05:15,2025-05-21 22:53:15,2025-05-24 18:53:15,Y,1
TCKT00038,Agent_4,CUST7615,Login Issue,Phone,2025-06-02 10:06:05,2025-06-02 12:48:05,2025-06-02 21:48:05,Y,5
TCKT00039,Agent_10,CUST2343,Feature Request,Phone,2024-12-16 21:09:17,2024-12-16 23:51:17,2024-12-17 05:51:17,N,3
TCKT00040,Agent_4,CUST5351,Feature Request,Email,2025-05-11 23:10:01,2025-05-12 00:12:01,2025-05-13 17:12:01,N,4
TCKT00041,Agent_1,CUST8508,Account Suspension,Phone,2025-05-21 02:15:29,2025-05-21 03:45:29,2025-05-21 13:45:29,Y,1
TCKT00042,Agent_9,CUST5345,Payment Failure,Chat,2025-01-15 14:56:04,2025-01-15 17:23:04,2025-01-16 21:23:04,Y,2
TCKT00043,Agent_3,CUST8179,Account Suspension,Phone,2025-04-30 04:26:01,2025-04-30 06:10:01,2025-05-01 19:10:01,N,5
TCKT00044,Agent_1,CUST5905,Login Issue,Email,2025-03-07 16:23:39,2025-03-07 19:59:39,2025-03-10 15:59:39,N,1
TCKT00045,Agent_9,CUST3546,Bug Report,Chat,2025-02-19 16:33:02,2025-02-19 20:30:02,2025-02-20 10:30:02,Y,3
TCKT00046,Agent_9,CUST9004,Bug Report,Email,2025-02-07 13:50:33,2025-02-07 14:52:33,2025-02-09 00:52:33,Y,4
TCKT00047,Agent_1,CUST1058,Bug Report,Email,2025-01-14 19:27:19,2025-01-14 23:09:19,2025-01-16 11:09:19,N,2
TCKT00048,Agent_9,CUST8007,Account Suspension,Email,2025-01-26 10:18:11,2025-01-26 13:37:11,2025-01-28 22:37:11,Y,1
TCKT00049,Agent_9,CUST1590,Bug Report,Phone,2025-05-12 21:00:31,2025-05-13 00:56:31,2025-05-13 20:56:31,Y,4
TCKT00050,Agent_5,CUST6974,Login Issue,Chat,2025-02-18 23:30:45,2025-02-19 00:12:45,2025-02-19 06:12:45,Y,2
TCKT00051,Agent_6,CUST7658,Account Suspension,Phone,2025-01-04 11:12:09,2025-01-04 14:12:09,2025-01-05 04:12:09,Y,2
TCKT00052,Agent_3,CUST7755,Login Issue,Email,2025-01-02 15:05:43,2025-01-02 18:56:43,2025-01-03 15:56:43,N,4
TCKT00053,Agent_5,CUST3608,Login Issue,Chat,2025-02-27 09:27:28,2025-02-27 13:02:28,2025-02-28 21:02:28,Y,4
TCKT00054,Agent_8,CUST6728,Bug Report,Email,2025-01-03 09:35:57,2025-01-03 10:41:57,2025-01-04 12:41:57,Y,1
TCKT00055,Agent_7,CUST6378,Bug Report,Email,2025-02-23 07:50:00,2025-02-23 10:48:00,2025-02-24 11:48:00,N,3
TCKT00056,Agent_7,CUST9785,Bug Report,Email,2025-05-29 04:28:42,2025-05-29 07:22:42,2025-06-01 01:22:42,Y,3
TCKT00057,Agent_1,CUST2776,Account Suspension,Chat,2025-02-20 09:49:05,2025-02-20 10:44:05,2025-02-21 20:44:05,N,3
TCKT00058,Agent_2,CUST7311,Account Suspension,Email,2025-04-11 20:26:08,2025-04-11 22:27:08,2025-04-14 16:27:08,N,1
TCKT00059,Agent_1,CUST9518,Account Suspension,Phone,2025-02-04 23:37:29,2025-02-05 02:48:29,2025-02-07 10:48:29,Y,3
TCKT00060,Agent_6,CUST6143,Login Issue,Phone,2025-05-21 08:21:31,2025-05-21 10:21:31,2025-05-21 19:21:31,N,5
TCKT00061,Agent_6,CUST7592,Bug Report,Phone,2024-12-24 01:21:43,2024-12-24 02:50:43,2024-12-26 07:50:43,Y,2
TCKT00062,Agent_3,CUST5930,Feature Request,Phone,2025-05-06 07:39:53,2025-05-06 09:36:53,2025-05-08 10:36:53,Y,3
TCKT00063,Agent_7,CUST6279,Feature Request,Chat,2025-03-14 19:56:36,2025-03-14 21:19:36,2025-03-16 00:19:36,N,2
TCKT00064,Agent_3,CUST2389,Bug Report,Phone,2025-03-29 17:52:20,2025-03-29 20:12:20,2025-04-01 09:12:20,N,1
TCKT00065,Agent_5,CUST4680,Payment Failure,Email,2025-01-08 20:36:01,2025-01-09 00:15:01,2025-01-10 07:15:01,Y,1
TCKT00066,Agent_10,CUST2193,Feature Request,Chat,2025-06-12 17:04:34,2025-06-12 18:16:34,2025-06-15 07:16:34,Y,4
TCKT00067,Agent_4,CUST3417,Login Issue,Email,2025-02-27 02:57:59,2025-02-27 05:13:59,2025-03-01 09:13:59,N,2
TCKT00068,Agent_8,CUST1822,Account Suspension,Email,2024-12-30 22:06:13,2024-12-30 23:01:13,2025-01-02 18:01:13,Y,4
TCKT00069,Agent_9,CUST6198,Feature Request,Phone,2025-04-01 19:33:50,2025-04-01 20:17:50,2025-04-04 08:17:50,N,5
TCKT00070,Agent_8,CUST8373,Bug Report,Email,2025-02-10 13:10:41,2025-02-10 15:14:41,2025-02-11 12:14:41,N,5
TCKT00071,Agent_5,CUST8206,Login Issue,Phone,2025-05-25 16:10:27,2025-05-25 18:24:27,2025-05-27 01:24:27,N,2
TCKT00072,Agent_6,CUST9849,Login Issue,Email,2025-04-16 16:32:31,2025-04-16 17:51:31,2025-04-18 12:51:31,Y,2
TCKT00073,Agent_4,CUST2052,Feature Request,Chat,2025-04-14 17:22:45,2025-04-14 19:10:45,2025-04-15 15:10:45,N,5
TCKT00074,Agent_1,CUST4388,Feature Request,Chat,2025-06-05 13:22:21,2025-06-05 15:31:21,2025-06-07 21:31:21,Y,5
TCKT00075,Agent_1,CUST6763,Bug Report,Chat,2025-05-31 22:42:48,2025-06-01 00:29:48,2025-06-03 14:29:48,N,5
TCKT00076,Agent_10,CUST4613,Feature Request,Email,2025-02-23 20:12:34,2025-02-23 23:33:34,2025-02-26 21:33:34,N,4
TCKT00077,Agent_7,CUST6507,Feature Request,Phone,2025-04-06 17:31:27,2025-04-06 19:45:27,2025-04-06 23:45:27,Y,4
TCKT00078,Agent_1,CUST7455,Account Suspension,Phone,2025-01-21 22:59:53,2025-01-21 23:41:53,2025-01-24 20:41:53,Y,1
TCKT00079,Agent_3,CUST8564,Payment Failure,Email,2025-05-01 10:24:39,2025-05-01 13:18:39,2025-05-03 20:18:39,N,4
TCKT00080,Agent_8,CUST6355,Bug Report,Chat,2024-12-29 03:01:07,2024-12-29 04:34:07,2024-12-30 08:34:07,N,4
TCKT00081,Agent_8,CUST1317,Account Suspension,Email,2024-12-24 12:25:31,2024-12-24 13:39:31,2024-12-25 00:39:31,N,2
TCKT00082,Agent_1,CUST1508,Payment Failure,Email,2025-04-23 00:34:43,2025-04-23 03:30:43,2025-04-23 12:30:43,Y,5
TCKT00083,Agent_3,CUST8758,Login Issue,Phone,2025-01-28 20:57:04,2025-01-28 21:46:04,2025-01-30 04:46:04,Y,4
TCKT00084,Agent_6,CUST3749,Account Suspension,Phone,2025-05-14 17:37:40,2025-05-14 20:46:40,2025-05-16 05:46:40,Y,2
TCKT00085,Agent_10,CUST1420,Bug Report,Phone,2025-02-09 19:30:50,2025-02-09 20:59:50,2025-02-10 10:59:50,N,4
TCKT00086,Agent_2,CUST4978,Login Issue,Phone,2024-12-31 02:43:33,2024-12-31 05:56:33,2025-01-01 07:56:33,N,5
TCKT00087,Agent_10,CUST1672,Bug Report,Phone,2025-05-30 16:56:16,2025-05-30 20:32:16,2025-05-31 12:32:16,N,3
TCKT00088,Agent_6,CUST1207,Feature Request,Chat,2025-01-29 19:45:08,2025-01-29 20:12:08,2025-02-01 13:12:08,Y,4
TCKT00089,Agent_3,CUST8135,Payment Failure,Phone,2025-06-01 20:58:29,2025-06-01 22:40:29,2025-06-04 09:40:29,N,5
TCKT00090,Agent_8,CUST8616,Feature Request,Phone,2025-01-04 05:34:08,2025-01-04 09:10:08,2025-01-07 06:10:08,N,3
TCKT00091,Agent_2,CUST5569,Feature Request,Email,2025-02-27 10:23:05,2025-02-27 14:11:05,2025-02-28 22:11:05,N,5
TCKT00092,Agent_6,CUST1470,Feature Request,Chat,2025-02-07 14:19:09,2025-02-07 17:05:09,2025-02-09 18:05:09,Y,4
TCKT00093,Agent_5,CUST6576,Bug Report,Phone,2025-03-13 15:54:48,2025-03-13 16:58:48,2025-03-15 14:58:48,N,5
TCKT00094,Agent_4,CUST2402,Payment Failure,Phone,2025-04-18 01:22:21,2025-04-18 01:34:21,2025-04-20 20:34:21,N,4
TCKT00095,Agent_8,CUST9041,Feature Request,Email,2025-05-26 14:06:16,2025-05-26 16:38:16,2025-05-27 23:38:16,Y,3
TCKT00096,Agent_4,CUST6016,Account Suspension,Chat,2025-02-24 11:06:34,2025-02-24 12:12:34,2025-02-26 16:12:34,N,5
TCKT00097,Agent_7,CUST6419,Bug Report,Phone,2025-01-16 04:53:28,2025-01-16 07:18:28,2025-01-18 04:18:28,N,3
TCKT00098,Agent_4,CUST2976,Payment Failure,Chat,2025-02-25 12:02:12,2025-02-25 13:30:12,2025-02-26 22:30:12,Y,5
TCKT00099,Agent_4,CUST4545,Feature Request,Chat,2025-02-22 14:32:59,2025-02-22 17:57:59,2025-02-23 17:57:59,N,1
TCKT00100,Agent_5,CUST4727,Bug Report,Email,2025-01-25 07:14:30,2025-01-25 10:57:30,2025-01-26 11:57:30,N,1
TCKT00101,Agent_3,CUST5494,Login Issue,Email,2025-04-24 18:06:39,2025-04-24 21:17:39,2025-04-27 18:17:39,N,2
TCKT00102,Agent_2,CUST1200,Account Suspension,Chat,2025-02-05 11:04:30,2025-02-05 13:57:30,2025-02-08 04:57:30,N,4
TCKT00103,Agent_3,CUST1841,Bug Report,Chat,2025-04-30 21:35:16,2025-04-30 23:37:16,2025-05-02 19:37:16,Y,1
TCKT00104,Agent_2,CUST1878,Payment Failure,Email,2025-06-15 11:59:42,2025-06-15 13:51:42,2025-06-18 04:51:42,N,1
TCKT00105,Agent_9,CUST7818,Account Suspension,Phone,2025-04-27 08:25:52,2025-04-27 09:38:52,2025-04-28 01:38:52,Y,5
TCKT00106,Agent_8,CUST5871,Account Suspension,Chat,2025-04-20 10:55:55,2025-04-20 12:42:55,2025-04-22 22:42:55,N,5
TCKT00107,Agent_10,CUST2625,Payment Failure,Phone,2024-12-29 11:37:41,2024-12-29 14:25:41,2024-12-29 22:25:41,Y,3
TCKT00108,Agent_3,CUST4929,Payment Failure,Phone,2025-04-12 21:37:28,2025-04-13 00:36:28,2025-04-13 11:36:28,Y,2
TCKT00109,Agent_8,CUST8699,Bug Report,Email,2025-04-17 22:04:53,2025-04-17 22:14:53,2025-04-20 03:14:53,Y,3
TCKT00110,Agent_8,CUST2166,Payment Failure,Chat,2025-01-17 20:25:56,2025-01-17 23:35:56,2025-01-19 12:35:56,Y,4
TCKT00111,Agent_4,CUST3441,Bug Report,Email,2025-03-29 08:08:26,2025-03-29 08:47:26,2025-04-01 06:47:26,Y,1
TCKT00112,Agent_10,CUST5728,Feature Request,Email,2025-05-06 04:50:43,2025-05-06 05:42:43,2025-05-07 21:42:43,N,3
TCKT00113,Agent_5,CUST9199,Account Suspension,Chat,2025-02-01 03:46:11,2025-02-01 06:55:11,2025-02-03 10:55:11,N,1
TCKT00114,Agent_7,CUST6280,Account Suspension,Chat,2025-01-16 08:22:44,2025-01-16 11:05:44,2025-01-16 17:05:44,Y,1
TCKT00115,Agent_5,CUST1659,Payment Failure,Chat,2025-03-15 09:09:25,2025-03-15 10:17:25,2025-03-15 13:17:25,N,3
TCKT00116,Agent_8,CUST2494,Feature Request,Chat,2025-02-27 07:15:31,2025-02-27 08:11:31,2025-03-01 16:11:31,N,3
TCKT00117,Agent_3,CUST6403,Feature Request,Phone,2025-02-06 00:54:58,2025-02-06 02:26:58,2025-02-06 16:26:58,N,3
TCKT00118,Agent_9,CUST1601,Feature Request,Email,2025-06-13 07:30:13,2025-06-13 10:29:13,2025-06-15 14:29:13,N,3
TCKT00119,Agent_7,CUST9431,Login Issue,Phone,2025-04-18 21:29:00,2025-04-18 23:01:00,2025-04-19 14:01:00,N,4
TCKT00120,Agent_9,CUST6927,Account Suspension,Chat,2025-04-28 05:56:07,2025-04-28 06:19:07,2025-04-29 07:19:07,N,1
TCKT00121,Agent_9,CUST3146,Bug Report,Chat,2025-04-02 18:26:32,2025-04-02 19:28:32,2025-04-04 06:28:32,N,1
TCKT00122,Agent_3,CUST6091,Account Suspension,Email,2025-01-27 06:20:57,2025-01-27 06:37:57,2025-01-28 13:37:57,N,1
TCKT00123,Agent_8,CUST2924,Payment Failure,Chat,2025-04-27 13:24:07,2025-04-27 14:31:07,2025-04-28 05:31:07,N,5
TCKT00124,Agent_7,CUST8905,Feature Request,Email,2025-02-16 14:08:07,2025-02-16 17:18:07,2025-02-18 04:18:07,N,5
TCKT00125,Agent_4,CUST9327,Payment Failure,Email,2025-05-28 06:50:34,2025-05-28 07:37:34,2025-05-30 09:37:34,N,4
TCKT00126,Agent_5,CUST1042,Bug Report,Phone,2025-05-13 19:28:08,2025-05-13 21:05:08,2025-05-16 14:05:08,N,5
TCKT00127,Agent_3,CUST8316,Account Suspension,Chat,2025-05-15 07:17:24,2025-05-15 09:55:24,2025-05-18 00:55:24,N,3
TCKT00128,Agent_7,CUST8460,Bug Report,Email,2024-12-26 11:33:29,2024-12-26 14:04:29,2024-12-29 12:04:29,Y,5
TCKT00129,Agent_7,CUST1715,Bug Report,Phone,2025-01-29 02:18:34,2025-01-29 04:06:34,2025-01-30 10:06:34,N,4
TCKT00130,Agent_8,CUST1606,Payment Failure,Phone,2025-05-24 04:44:45,2025-05-24 06:32:45,2025-05-25 02:32:45,N,1
TCKT00131,Agent_2,CUST9617,Feature Request,Email,2024-12-21 20:27:58,2024-12-22 00:20:58,2024-12-24 09:20:58,Y,4
TCKT00132,Agent_2,CUST8692,Bug Report,Chat,2025-05-20 22:39:13,2025-05-21 02:31:13,2025-05-21 22:31:13,N,1
TCKT00133,Agent_9,CUST7226,Bug Report,Phone,2025-02-14 20:59:09,2025-02-15 00:47:09,2025-02-16 19:47:09,N,5
TCKT00134,Agent_4,CUST5708,Payment Failure,Phone,2025-03-03 12:25:54,2025-03-03 12:44:54,2025-03-03 21:44:54,Y,4
TCKT00135,Agent_8,CUST3725,Bug Report,Email,2025-02-05 14:37:52,2025-02-05 15:12:52,2025-02-06 04:12:52,Y,3
TCKT00136,Agent_5,CUST6873,Bug Report,Chat,2024-12-28 11:19:46,2024-12-28 14:52:46,2024-12-28 22:52:46,Y,2
TCKT00137,Agent_10,CUST3950,Payment Failure,Email,2025-01-25 14:07:10,2025-01-25 16:32:10,2025-01-27 21:32:10,Y,5
TCKT00138,Agent_10,CUST4945,Feature Request,Phone,2025-06-10 22:23:27,2025-06-11 02:15:27,2025-06-13 03:15:27,Y,2
TCKT00139,Agent_8,CUST5183,Login Issue,Chat,2025-04-04 18:07:08,2025-04-04 20:15:08,2025-04-06 05:15:08,N,5
TCKT00140,Agent_8,CUST6661,Account Suspension,Chat,2025-06-03 19:02:14,2025-06-03 19:52:14,2025-06-04 05:52:14,N,3
TCKT00141,Agent_4,CUST7302,Feature Request,Email,2025-05-04 00:35:28,2025-05-04 02:41:28,2025-05-05 17:41:28,Y,4
TCKT00142,Agent_10,CUST5847,Bug Report,Email,2025-02-14 17:22:24,2025-02-14 19:58:24,2025-02-16 17:58:24,N,3
TCKT00143,Agent_10,CUST9138,Bug Report,Email,2025-01-25 21:46:47,2025-01-25 21:58:47,2025-01-26 04:58:47,N,2
TCKT00144,Agent_10,CUST5106,Payment Failure,Phone,2025-04-21 21:26:02,2025-04-22 00:18:02,2025-04-23 01:18:02,Y,1
TCKT00145,Agent_1,CUST6977,Payment Failure,Email,2025-03-22 13:27:16,2025-03-22 14:56:16,2025-03-24 23:56:16,N,3
TCKT00146,Agent_3,CUST4289,Payment Failure,Phone,2025-03-02 10:38:47,2025-03-02 13:59:47,2025-03-04 19:59:47,N,5
TCKT00147,Agent_3,CUST5210,Feature Request,Chat,2025-06-05 09:47:26,2025-06-05 12:05:26,2025-06-06 23:05:26,N,1
TCKT00148,Agent_3,CUST4696,Feature Request,Phone,2025-06-11 04:58:08,2025-06-11 07:07:08,2025-06-11 17:07:08,N,1
TCKT00149,Agent_1,CUST5332,Account Suspension,Email,2025-04-19 10:46:30,2025-04-19 14:18:30,2025-04-21 17:18:30,N,3
TCKT00150,Agent_10,CUST7242,Bug Report,Email,2025-03-14 17:16:22,2025-03-14 20:18:22,2025-03-16 06:18:22,Y,4
TCKT00151,Agent_6,CUST4626,Login Issue,Phone,2025-01-12 08:41:53,2025-01-12 08:57:53,2025-01-15 08:57:53,N,3
TCKT00152,Agent_2,CUST3290,Login Issue,Email,2025-02-05 01:17:57,2025-02-05 04:13:57,2025-02-07 09:13:57,N,4
TCKT00153,Agent_4,CUST9807,Payment Failure,Chat,2025-01-11 17:35:34,2025-01-11 18:14:34,2025-01-12 07:14:34,N,3
TCKT00154,Agent_7,CUST3531,Feature Request,Phone,2025-02-01 12:14:08,2025-02-01 15:15:08,2025-02-04 13:15:08,Y,4
TCKT00155,Agent_5,CUST1536,Bug Report,Email,2025-05-09 06:46:07,2025-05-09 09:33:07,2025-05-11 14:33:07,N,4
TCKT00156,Agent_2,CUST7018,Account Suspension,Phone,2025-04-03 15:02:00,2025-04-03 16:12:00,2025-04-05 15:12:00,N,1
TCKT00157,Agent_4,CUST3001,Feature Request,Email,2025-03-30 06:41:04,2025-03-30 08:32:04,2025-03-31 20:32:04,Y,5
TCKT00158,Agent_6,CUST4990,Payment Failure,Phone,2025-02-04 15:19:58,2025-02-04 15:34:58,2025-02-04 22:34:58,Y,1
TCKT00159,Agent_4,CUST4538,Payment Failure,Chat,2025-05-09 16:12:18,2025-05-09 19:54:18,2025-05-12 18:54:18,Y,5
TCKT00160,Agent_3,CUST3129,Account Suspension,Chat,2025-04-08 03:14:11,2025-04-08 03:24:11,2025-04-09 15:24:11,Y,1
TCKT00161,Agent_3,CUST1243,Bug Report,Email,2025-03-08 19:30:52,2025-03-08 22:29:52,2025-03-09 02:29:52,N,1
TCKT00162,Agent_1,CUST3076,Feature Request,Phone,2025-06-07 23:01:34,2025-06-07 23:55:34,2025-06-09 09:55:34,Y,1
TCKT00163,Agent_6,CUST9408,Account Suspension,Email,2025-04-07 22:19:43,2025-04-08 00:30:43,2025-04-10 10:30:43,N,5
TCKT00164,Agent_9,CUST5941,Feature Request,Phone,2025-03-03 04:12:34,2025-03-03 05:18:34,2025-03-03 11:18:34,Y,1
TCKT00165,Agent_7,CUST2768,Feature Request,Phone,2025-02-23 21:53:38,2025-02-24 00:05:38,2025-02-26 04:05:38,N,1
TCKT00166,Agent_6,CUST3430,Login Issue,Email,2025-01-27 04:58:37,2025-01-27 08:58:37,2025-01-27 19:58:37,N,5
TCKT00167,Agent_6,CUST7240,Account Suspension,Phone,2025-01-11 11:32:27,2025-01-11 14:24:27,2025-01-14 13:24:27,N,4
TCKT00168,Agent_2,CUST2874,Account Suspension,Phone,2025-03-24 13:25:58,2025-03-24 15:44:58,2025-03-26 23:44:58,Y,4
TCKT00169,Agent_7,CUST6553,Feature Request,Chat,2025-03-21 10:49:07,2025-03-21 12:54:07,2025-03-22 18:54:07,N,1
TCKT00170,Agent_6,CUST5176,Bug Report,Email,2025-01-02 06:32:12,2025-01-02 08:02:12,2025-01-04 15:02:12,N,1
TCKT00171,Agent_2,CUST8075,Login Issue,Phone,2025-05-11 09:04:06,2025-05-11 09:37:06,2025-05-11 20:37:06,N,2
TCKT00172,Agent_10,CUST6400,Login Issue,Chat,2024-12-24 18:26:47,2024-12-24 20:58:47,2024-12-25 04:58:47,N,4
TCKT00173,Agent_5,CUST6119,Bug Report,Email,2025-05-31 19:53:55,2025-05-31 23:45:55,2025-06-01 06:45:55,Y,2
TCKT00174,Agent_4,CUST2773,Bug Report,Phone,2025-01-05 21:52:13,2025-01-06 00:50:13,2025-01-08 14:50:13,N,1
TCKT00175,Agent_10,CUST4705,Feature Request,Phone,2025-01-14 07:09:37,2025-01-14 10:34:37,2025-01-15 22:34:37,Y,5
TCKT00176,Agent_1,CUST3955,Bug Report,Phone,2025-04-16 10:58:43,2025-04-16 13:56:43,2025-04-18 00:56:43,N,3
TCKT00177,Agent_3,CUST3347,Account Suspension,Phone,2025-01-15 16:26:18,2025-01-15 18:05:18,2025-01-15 19:05:18,N,1
TCKT00178,Agent_2,CUST9691,Payment Failure,Chat,2025-05-18 10:13:32,2025-05-18 10:59:32,2025-05-18 14:59:32,N,4
TCKT00179,Agent_6,CUST6105,Bug Report,Phone,2025-04-26 18:08:26,2025-04-26 19:45:26,2025-04-27 16:45:26,Y,1
TCKT00180,Agent_10,CUST1815,Login Issue,Chat,2025-03-07 14:16:34,2025-03-07 15:05:34,2025-03-08 12:05:34,N,4
TCKT00181,Agent_7,CUST5475,Payment Failure,Phone,2025-04-10 10:20:09,2025-04-10 12:34:09,2025-04-12 21:34:09,Y,3
TCKT00182,Agent_5,CUST8972,Account Suspension,Phone,2024-12-27 22:55:44,2024-12-28 00:55:44,2024-12-28 15:55:44,N,1
TCKT00183,Agent_10,CUST1897,Login Issue,Email,2025-02-28 08:00:50,2025-02-28 09:06:50,2025-03-02 12:06:50,N,2
TCKT00184,Agent_5,CUST5742,Bug Report,Email,2025-02-27 17:20:35,2025-02-27 20:46:35,2025-02-28 14:46:35,Y,4
TCKT00185,Agent_3,CUST3116,Feature Request,Phone,2025-04-10 07:54:34,2025-04-10 11:15:34,2025-04-12 19:15:34,Y,5
TCKT00186,Agent_2,CUST7505,Login Issue,Chat,2025-03-16 12:08:20,2025-03-16 14:41:20,2025-03-18 12:41:20,Y,4
TCKT00187,Agent_10,CUST8033,Account Suspension,Chat,2025-03-28 08:43:11,2025-03-28 09:12:11,2025-03-30 02:12:11,N,3
TCKT00188,Agent_1,CUST6321,Payment Failure,Phone,2025-02-02 10:32:34,2025-02-02 11:11:34,2025-02-04 15:11:34,N,3
TCKT00189,Agent_2,CUST4986,Feature Request,Phone,2025-04-02 01:05:16,2025-04-02 01:37:16,2025-04-04 09:37:16,N,5
TCKT00190,Agent_5,CUST6562,Payment Failure,Chat,2025-05-31 18:23:32,2025-05-31 18:53:32,2025-06-02 21:53:32,Y,1
TCKT00191,Agent_9,CUST9355,Payment Failure,Chat,2024-12-17 20:22:25,2024-12-17 22:42:25,2024-12-18 13:42:25,N,2
